State,B-org
Department,I-org
spokesman,O
Adam,B-per
Ereli,I-per
said,O
Thursday,B-tim
U.S.,B-geo
policy,O
requires,O
that,O
international,O
relief,O
workers,O
be,O
able,O
to,O
monitor,O
the,O
distribution,O
of,O
its,O
food,O
.,O
That,O
safeguard,O
will,O
disappear,O
when,O
the,O
U.N.,B-org
World,I-org
Food,I-org
Program,I-org
(,O
WFP,B-org
),O
stops,O
distributing,O
food,O
in,O
North,B-geo
Korea,I-geo
this,O
month,O
.,O
Mr.,B-per
Ereli,I-per
said,O
it,O
is,O
a,O
common,O
practice,O
for,O
North,B-geo
Korea,I-geo
to,O
"""",O
ignore,O
the,O
needs,O
of,O
its,O
people,O
"""",O
and,O
"""",O
let,O
them,O
starve,O
for,O
inexplicable,O
reasons,O
.,O
"""",O
North,B-geo
Korea,I-geo
announced,O
in,O
August,B-tim
that,O
it,O
no,O
longer,O
wanted,O
U.N.,B-org
food,O
aid,O
because,O
it,O
said,O
domestic,O
food,O
production,O
had,O
improved,O
.,O
The,O
WFP,B-org
said,O
it,O
would,O
close,O
all,O
its,O
food-processing,O
plants,O
in,O
North,B-geo
Korea,I-geo
by,O
the,O
end,B-tim
of,I-tim
this,O
month,O
.,O
Danish,B-gpe
police,O
are,O
holding,O
seven,O
people,O
suspected,O
of,O
planning,O
terrorist,O
attacks,O
in,O
the,O
Scandinavian,O
country,O
.,O
Authorities,O
say,O
security,O
police,O
launched,O
a,O
raid,O
early,O
Tuesday,B-tim
and,O
detained,O
nine,O
suspects,O
in,O
Vollsmose,B-geo
",",O
a,O
mostly,O
immigrant,O
neighborhood,O
in,O
the,O
city,O
of,O
Odense,B-geo
.,O
Police,O
released,O
two,O
of,O
the,O
suspects,O
.,O
Justice,B-org
Minister,B-per
Lene,I-per
Espersen,I-per
said,O
police,O
seized,O
materials,O
used,O
to,O
make,O
explosives,O
",",O
and,O
she,O
said,O
most,O
of,O
the,O
suspects,O
are,O
thought,O
to,O
be,O
Danish,B-gpe
citizens,O
of,O
foreign,O
origin,O
.,O
Espersen,B-per
declined,O
to,O
disclose,O
further,O
details,O
but,O
she,O
said,O
evidence,O
showed,O
the,O
group,O
had,O
been,O
plotting,O
to,O
stage,O
an,O
attack,O
somewhere,O
in,O
Denmark,B-geo
.,O
Last,O
month,O
",",O
authorities,O
charged,O
four,O
suspects,O
with,O
trying,O
to,O
obtain,O
explosives,O
to,O
carry,O
out,O
a,O
terrorist,O
attack,O
.,O
Also,O
in,O
early,O
August,B-tim
",",O
a,O
Moroccan-born,O
Dane,B-gpe
was,O
charged,O
with,O
inciting,O
Muslims,O
to,O
carry,O
out,O
terrorist,O
acts,O
.,O
Police,O
in,O
northwest,B-geo
Pakistan,I-geo
say,O
suspected,O
Taliban,B-org
militants,O
have,O
blown,O
up,O
a,O
primary,O
school,O
that,O
educated,O
girls,O
.,O
Officials,O
say,O
there,O
were,O
no,O
casualties,O
in,O
Tuesday,B-tim
's,O
blast,O
because,O
the,O
school,O
was,O
closed,O
for,O
the,O
Eid,O
al-Fitr,O
holiday,O
marking,O
the,O
end,B-tim
of,I-tim
the,O
Muslim,B-tim
holy,I-tim
month,O
of,B-tim
Ramadan,I-tim
.,O
Al-Qaida,B-org
and,O
Taliban-linked,O
militants,O
who,O
oppose,O
the,O
education,O
of,O
women,O
have,O
destroyed,O
hundreds,O
of,O
girls,O
schools,O
across,O
the,O
country,O
.,O
On,O
Monday,B-tim
",",O
police,O
killed,O
a,O
suicide,O
bomber,O
trying,O
to,O
assassinate,O
a,O
regional,O
education,O
minister,O
",",O
also,O
in,O
the,O
northwest,B-geo
.,O
In,O
other,O
violence,O
",",O
Pakistani,B-gpe
security,O
forces,O
say,O
they,O
have,O
arrested,O
11,O
suspected,O
militants,O
",",O
including,O
three,B-tim
Afghanis,I-tim
",",O
during,O
security,O
operations,O
in,O
Malakand,B-geo
and,O
Swat,B-org
districts,O
.,O
In,O
a,O
statement,O
released,O
Tuesday,B-tim
",",O
officials,O
say,O
they,O
also,O
found,O
four,O
inter-linked,O
tunnels,O
and,O
bomb-proof,O
bunkers,O
during,O
a,O
separate,O
search,O
operation,O
near,O
Swat,B-org
's,O
Biakand,B-org
area,O
.,O
NATO,B-org
says,O
two,O
alliance,O
soldiers,O
have,O
been,O
killed,O
and,O
three,O
others,O
wounded,O
in,O
a,O
firefight,O
with,O
Taliban,B-org
insurgents,O
in,O
eastern,B-geo
Afghanistan,I-geo
.,O
In,O
a,O
statement,O
",",O
the,O
NATO-led,B-org
International,I-org
Security,I-org
Assistance,I-org
Force,I-org
says,O
the,O
fighting,O
erupted,O
when,O
insurgents,O
ambushed,O
a,O
joint,O
NATO-Afghan,O
troop,O
patrol,O
in,O
the,O
Korangal,B-geo
Valley,I-geo
of,I-geo
Kunar,I-geo
province,O
late,O
Thursday,B-tim
.,O
NATO,B-org
did,O
not,O
identify,O
the,O
nationalities,O
of,O
the,O
dead,O
and,O
wounded,O
soldiers,O
.,O
NATO,B-org
and,O
U.S.,B-geo
forces,O
are,O
battling,O
a,O
resurgent,O
Taliban,B-org
presence,O
in,O
Afghanistan,B-geo
.,O
The,O
group,O
increasingly,O
has,O
used,O
suicide,O
attacks,O
and,O
roadside,O
bomb,O
blasts,O
since,O
U.S.-led,O
forces,O
ousted,O
it,O
from,O
power,O
in,O
the,O
late,O
2001,B-tim
.,O
Staff,O
from,O
Arabic,O
television,O
station,O
al-Jazeera,B-org
protested,O
Thursday,B-tim
around,O
the,O
Middle,B-geo
East,I-geo
in,O
the,O
wake,O
of,O
a,O
British,B-gpe
news,O
report,O
that,O
alleged,O
President,B-per
Bush,I-per
considered,O
bombing,O
the,O
channel,O
's,O
headquarters,O
last,O
year,O
.,O
Dozens,O
of,O
al-Jazeera,B-org
reporters,O
and,O
staff,O
members,O
demonstrated,O
outside,O
the,O
station,O
's,O
headquarters,O
in,O
Doha,B-geo
",",O
Qatar,B-geo
and,O
in,O
other,O
cities,O
.,O
They,O
called,O
for,O
an,O
investigation,O
into,O
the,O
allegations,O
raised,O
in,O
the,O
Daily,B-org
Mirror,I-org
article,O
",",O
which,O
was,O
based,O
on,O
an,O
allegedly,O
leaked,O
official,O
memorandum,O
.,O
In,O
Cairo,B-geo
",",O
Beirut,B-geo
and,O
Gaza,B-geo
City,I-geo
",",O
al-Jazeera,B-org
staffers,O
were,O
joined,O
by,O
colleagues,O
from,O
other,O
Arab,B-gpe
media,O
.,O
The,O
White,B-org
House,I-org
has,O
dismissed,O
the,O
tabloid,O
report,O
as,O
"""",O
outlandish,O
and,O
inconceivable,O
.,O
"""",O
After,O
its,O
front-page,O
story,O
Tuesday,B-tim
",",O
the,O
Daily,B-org
Mirror,I-org
and,O
two,O
other,O
British,B-gpe
papers,O
said,O
Britain,B-geo
's,O
government,O
threatened,O
them,O
with,O
legal,O
action,O
if,O
they,O
publish,O
further,O
details,O
of,O
the,O
top,O
secret,O
document,O
.,O
The,O
United,B-geo
States,I-geo
is,O
temporarily,O
closing,O
its,O
consulate,O
in,O
the,O
Mexican,B-gpe
border,O
city,O
of,O
Nuevo,B-geo
Laredo,I-geo
because,O
of,O
escalating,O
violence,O
.,O
In,O
a,O
statement,O
from,O
Mexico,B-geo
City,I-geo
Friday,B-tim
",",O
Ambassador,O
Tony,B-per
Garza,I-per
said,O
the,O
consulate,O
will,O
close,O
for,O
one,B-tim
week,O
",",O
beginning,O
August,B-tim
1,I-tim
.,O
He,O
says,O
Thursday,B-tim
's,O
battle,O
on,O
the,O
streets,O
of,O
Nuevo,B-geo
Laredo,I-geo
forced,O
the,O
closure,O
to,O
assess,O
the,O
security,O
situation,O
for,O
employees,O
and,O
travelers,O
.,O
Rival,O
gangs,O
clashed,O
with,O
machine,O
guns,O
",",O
grenades,O
and,O
a,O
rocket,O
launcher,O
late,O
Thursday,B-tim
.,O
No,O
one,O
was,O
killed,O
",",O
but,O
the,O
neighborhood,O
has,O
been,O
described,O
as,O
resembling,O
a,O
war,O
zone,O
.,O
The,O
closure,O
announcement,O
comes,O
days,O
after,O
the,O
ambassador,O
asked,O
the,O
U.S.,B-org
State,I-org
Department,I-org
to,O
extend,O
its,O
travel,O
advisory,O
warning,O
Americans,B-gpe
about,O
attacks,O
in,O
Mexico,B-geo
.,O
More,O
than,O
100,O
people,O
have,O
been,O
killed,O
in,O
the,O
town,O
since,B-tim
June,I-tim
",",O
including,O
18,O
policemen,O
",",O
as,O
gangs,O
compete,O
for,O
drug-smuggling,O
routes,O
into,O
the,O
United,B-geo
States,I-geo
.,O
Pakistan,B-geo
has,O
sentenced,O
five,O
people,O
to,O
death,O
for,O
plotting,O
to,O
kill,O
President,B-per
Pervez,I-per
Musharraf,I-per
two,B-tim
years,O
ago,O
.,O
Army,B-org
spokesman,O
Major,B-org
General,I-org
Shaukat,I-org
Sultan,I-org
said,O
Friday,B-tim
that,O
the,O
sentences,O
were,O
given,O
to,O
one,O
soldier,O
and,O
four,O
civilians,O
involved,O
in,O
the,O
plot,O
to,O
ram,O
an,O
explosives-laden,O
vehicle,O
into,O
Mr.,B-per
Musharraf,B-geo
's,O
motorcade,O
.,O
The,O
president,O
was,O
unhurt,O
in,O
the,O
attack,O
in,O
Rawalpindi,B-geo
",",O
but,O
15,O
others,O
died,O
.,O
Earlier,O
this,O
month,O
",",O
authorities,O
hanged,O
a,O
soldier,O
linked,O
to,O
that,O
attack,O
and,O
an,O
earlier,O
plot,O
against,O
the,O
president,O
.,O
Mr.,B-per
Musharraf,B-geo
has,O
become,O
a,O
target,O
for,O
Islamic,O
militants,O
since,O
joining,O
the,O
U.S.-led,O
war,O
on,O
terrorism,O
after,O
the,O
September,B-tim
11,I-tim
",",I-tim
2001,I-tim
attacks,O
in,O
the,O
United,B-geo
States,I-geo
.,O
Pakistani,B-gpe
officials,O
say,O
the,O
suspected,O
mastermind,O
of,O
the,O
plot,O
uncovered,O
in,O
London,B-geo
last,O
week,O
to,O
blow,O
up,O
U.S.-bound,O
airplanes,O
is,O
hiding,O
in,O
a,O
mountainous,O
region,O
of,O
northeastern,O
Afghanistan,B-geo
.,O
The,O
officials,O
said,O
Friday,B-tim
they,O
told,O
the,O
U.S.,B-geo
military,O
that,O
the,O
suspect,O
",",O
an,O
al-Qaida,B-org
operative,O
",",O
is,O
believed,O
to,O
be,O
in,O
Afghanistan,B-geo
's,O
Kunar,B-geo
province,O
",",O
which,O
borders,O
Pakistan,B-geo
.,O
They,O
have,O
not,O
disclosed,O
his,O
name,O
.,O
They,O
say,O
the,O
information,O
was,O
obtained,O
by,O
interrogators,O
questioning,O
British,B-gpe
suspect,O
Rashid,B-per
Rauf,I-per
",",O
who,O
was,O
arrested,O
in,O
eastern,B-geo
Pakistan,I-geo
and,O
is,O
regarded,O
as,O
a,O
key,O
figure,O
in,O
the,O
foiled,O
plot,O
.,O
Twenty-three,O
people,O
are,O
in,O
detention,O
in,O
Britain,B-geo
",",O
and,O
Pakistan,B-geo
is,O
holding,O
seven,O
suspects,O
in,O
the,O
plot,O
.,O
A,O
flurry,O
of,O
reports,O
Tuesday,B-tim
shows,O
problems,O
for,O
the,O
U.S.,B-geo
economy,O
in,O
the,O
services,O
",",O
retail,O
",",O
factory,O
",",O
and,O
housing,O
sectors,O
.,O
Services,B-org
make,O
up,O
the,O
vast,O
majority,O
of,O
the,O
world,O
's,O
largest,O
economy,O
",",O
but,O
were,O
hit,O
hard,O
in,O
December,B-tim
as,O
consumers,O
cut,O
spending,O
and,O
housing,O
slumped,O
.,O
However,O
",",O
the,O
industry,O
group,O
the,O
Institute,B-org
for,I-org
Supply,I-org
Management,I-org
that,O
tracks,O
the,O
data,O
says,O
December,B-tim
's,O
figures,O
showed,O
the,O
services,O
sector,O
shrinking,O
at,O
a,O
slower,O
rate,O
than,O
the,O
prior,O
month,O
.,O
Retail,O
sales,O
are,O
also,O
troubled,O
.,O
Big,O
discounts,O
following,O
the,O
Christmas,B-tim
holiday,I-tim
",",O
December,B-tim
25,I-tim
",",O
had,O
consumers,O
shopping,O
for,O
bargains,O
",",O
but,O
were,O
not,O
enough,O
to,O
help,O
retailers,O
salvage,O
a,O
disappointing,O
holiday,O
shopping,O
season,O
.,O
An,O
industry,O
group,O
",",O
the,O
International,B-org
Council,I-org
of,I-org
Shopping,I-org
Centers,I-org
",",O
says,O
sales,O
fell,O
almost,O
one,O
percent,O
last,O
week,O
",",O
compared,O
to,O
the,O
same,O
time,O
last,O
year,O
.,O
Other,O
reports,O
Tuesday,B-tim
show,O
U.S.,B-geo
factory,O
orders,O
falling,O
sharply,O
and,O
pending,O
home,O
resales,O
off,O
sharply,O
in,O
November,B-tim
.,O
Janice,B-per
Karpinski,I-per
The,O
U.S.,B-org
Army,I-org
has,O
demoted,O
the,O
reserve,O
officer,O
who,O
commanded,O
the,O
military,O
police,O
unit,O
at,O
Iraq,B-geo
's,O
Abu,B-geo
Ghraib,I-geo
in,O
a,O
highly,O
publicized,O
prisoner,O
abuse,O
scandal,O
.,O
The,O
Army,B-org
says,O
Brigadier,O
General,O
Janice,B-per
Karpinski,I-per
was,O
found,O
guilty,O
of,O
dereliction,O
of,O
duty,O
",",O
and,O
",",O
upon,O
President,O
Bush,B-per
's,O
approval,O
",",O
she,O
was,O
demoted,O
to,O
colonel,O
.,O
However,O
",",O
the,O
Army,B-org
says,O
no,O
action,O
or,O
lack,O
of,O
action,O
by,O
General,B-org
Karpinski,B-per
contributed,O
specifically,O
to,O
the,O
abuse,O
of,O
detainees,O
at,O
Abu,B-geo
Ghraib,I-geo
.,O
General,B-org
Karpinski,B-per
is,O
the,O
highest-ranking,O
U.S.,B-geo
officer,O
to,O
be,O
punished,O
in,O
the,O
wake,O
of,O
the,O
prison,O
scandal,O
.,O
Earlier,O
this,O
week,O
",",O
a,O
U.S.,B-geo
military,O
judge,O
threw,O
out,O
the,O
guilty,O
plea,O
of,O
Army,B-org
Private,I-org
First,I-org
Class,I-org
Lynndie,I-org
England,I-org
in,O
connection,O
with,O
the,O
scandal,O
.,O
Her,O
case,O
will,O
now,O
be,O
sent,O
back,O
to,O
military,O
authorities,O
for,O
further,O
consideration,O
.,O
International,O
human,O
rights,O
groups,O
say,O
gunmen,O
in,O
the,O
Democratic,B-geo
Republic,I-geo
of,I-geo
Congo,I-geo
have,O
killed,O
a,O
prominent,O
rights,O
activist,O
in,O
the,O
east,O
of,O
the,O
country,O
.,O
In,O
a,O
joint,O
statement,O
Monday,B-tim
",",O
Amnesty,B-org
International,I-org
",",O
Human,B-org
Rights,I-org
Watch,I-org
",",O
and,O
Front,B-org
Line,I-org
called,O
on,O
Congo,B-geo
's,O
government,O
to,O
investigate,O
the,O
slaying,O
of,O
Pascal,B-org
Kabungulu,I-org
Kibembi,I-org
.,O
He,O
was,O
executive,O
director,O
of,O
the,O
human,O
rights,O
group,O
Heirs,B-org
of,I-org
Justice,I-org
",",O
based,O
in,O
Congo,B-geo
's,O
South,B-geo
Kivu,I-geo
region,O
.,O
The,O
organizations,O
say,O
that,O
on,O
Sunday,B-tim
",",O
three,O
armed,O
men,O
in,O
uniform,O
broke,O
into,O
Mr.,B-per
Kabungulu,B-geo
's,O
home,O
in,O
Bukavu,B-geo
",",O
and,O
shot,O
him,O
in,O
front,O
of,O
his,O
family,O
.,O
The,O
groups,O
are,O
urging,O
the,O
Congolese,B-gpe
government,O
to,O
find,O
and,O
prosecute,O
those,O
responsible,O
and,O
to,O
develop,O
an,O
effective,O
plan,O
to,O
protect,O
human,O
rights,O
workers,O
.,O
They,O
say,O
some,O
rights,O
activists,O
have,O
fled,O
the,O
country,O
because,O
of,O
increased,O
threats,O
.,O
Witnesses,O
say,O
nearly,O
20,O
dead,O
whales,O
have,O
washed,O
up,O
Wednesday,B-tim
on,O
a,O
beach,O
in,O
Dakar,B-geo
",",O
Senegal,B-geo
.,O
Dakar,B-geo
journalist,O
Ricci,B-per
Shryock,I-per
tells,O
VOA,B-org
national,O
police,O
are,O
removing,O
the,O
carcasses,O
in,O
trucks,O
.,O
She,O
said,O
the,O
whales,O
measure,O
some,O
3.5,O
to,O
4.5,O
meters,O
.,O
Local,O
villagers,O
say,O
as,O
many,O
as,O
100,O
whales,O
swam,O
up,O
to,O
shore,O
late,B-tim
Tuesday,I-tim
night,I-tim
.,O
Fisherman,O
were,O
able,O
to,O
tow,O
some,O
of,O
the,O
animals,O
out,O
to,O
sea,O
.,O
It,O
is,O
unclear,O
why,O
the,O
animals,O
swam,O
close,O
to,O
shore,O
.,O
U.S.,B-geo
President,B-per
Barack,I-per
Obama,I-per
called,O
the,O
heads,O
of,O
the,O
nation,O
's,O
largest,O
banks,O
to,O
the,O
White,B-org
House,I-org
for,O
talks,O
Friday,B-tim
",",O
in,O
the,O
latest,O
effort,O
to,O
find,O
ways,O
to,O
bolster,O
the,O
battered,O
U.S.,B-geo
economy,O
.,O
Earlier,O
this,O
week,O
",",O
the,O
Obama,B-per
administration,O
proposed,O
a,O
plan,O
to,O
help,O
troubled,O
banks,O
by,O
using,O
a,O
government,O
and,O
private,O
partnership,O
to,O
buy,O
up,O
to,O
$,O
1,O
trillion,O
in,O
bad,O
loans,O
and,O
other,O
"""",O
toxic,O
assets,O
"""",O
from,O
them,O
.,O
Thursday,B-tim
",",O
Treasury,B-org
Secretary,O
Timothy,B-per
Geithner,I-per
urged,O
Congress,B-org
to,O
approve,O
the,O
administration,O
's,O
plan,O
to,O
expand,O
the,O
government,O
's,O
powers,O
to,O
monitor,O
large,O
financial,O
firms,O
.,O
There,O
may,O
be,O
some,O
faint,O
signs,O
the,O
effort,O
is,O
working,O
.,O
Economic,O
data,O
published,O
Friday,B-tim
shows,O
consumer,O
spending,O
rose,O
slightly,O
and,O
consumer,O
sentiment,O
improved,O
a,O
small,O
amount,O
in,O
February,B-tim
.,O
Economists,O
track,O
consumer,O
spending,O
and,O
their,O
views,O
of,O
the,O
economy,O
because,O
consumer,O
demand,O
drives,O
two-thirds,O
of,O
U.S.,B-geo
economic,O
activity,O
.,O
U.S.,B-geo
military,O
officials,O
say,O
the,O
death,O
toll,O
from,O
Wednesday,B-tim
's,O
helicopter,O
crash,O
in,O
southeastern,O
Afghanistan,B-geo
has,O
risen,O
to,O
16,O
",",O
including,O
at,O
least,O
four,O
American,B-gpe
crew,O
members,O
.,O
A,O
U.S.,B-geo
statement,O
says,O
two,O
other,O
people,O
listed,O
on,O
the,O
flight,O
manifest,O
are,O
missing,O
.,O
The,O
Chinook,O
helicopter,O
was,O
returning,O
to,O
Bagram,B-geo
air,O
base,O
from,O
Ghazni,B-geo
province,O
",",O
southwest,O
of,O
the,O
capital,O
",",O
Kabul,B-per
",",O
when,O
it,O
went,O
down,O
near,O
Ghazni,B-geo
city,O
.,O
The,O
U.S.,B-geo
military,O
suggests,O
severe,O
weather,O
was,O
to,O
blame,O
for,O
what,O
is,O
the,O
deadliest,O
military,O
crash,O
in,O
Afghanistan,B-geo
since,O
the,O
start,O
of,O
U.S.-led,O
operations,O
to,O
oust,O
the,O
Taleban,B-org
in,O
late,O
2001,B-tim
.,O
The,O
European,B-org
Union,I-org
will,O
start,O
talks,O
with,O
Bosnia,B-geo
on,O
Friday,B-tim
on,O
an,O
accord,O
to,O
move,O
the,O
country,O
closer,O
to,O
joining,O
the,O
25-nation,O
bloc,O
.,O
The,O
EU,B-org
Enlargement,I-org
Commissioner,I-org
Olli,B-per
Rehn,I-per
will,O
travel,O
to,O
Bosnia,B-geo
to,O
open,O
talks,O
on,O
the,O
Stabilization,B-org
and,I-org
Association,I-org
Agreement,I-org
.,O
EU,B-org
foreign,O
ministers,O
say,O
Bosnia,B-geo
's,O
progress,O
on,O
the,O
agreement,O
depends,O
on,O
its,O
willingness,O
to,O
continue,O
reforms,O
and,O
cooperate,O
with,O
the,O
U.N.,B-org
war,O
crimes,O
tribunal,O
.,O
Two,O
key,O
Bosnian,B-gpe
war,O
crimes,O
suspects,O
",",O
Bosnian,B-gpe
Serb,I-gpe
leader,O
Radovan,B-per
Karadzic,I-per
and,O
army,O
commander,O
Ratko,B-per
Mladic,I-per
",",O
remain,O
at,O
large,O
.,O
The,O
EU,B-org
Monday,B-tim
also,O
extended,O
the,O
mandate,O
for,O
the,O
more,O
than,O
"6,000",O
peacekeeping,O
troops,O
in,O
Bosnia,B-geo
through,B-tim
next,O
year,O
.,O
The,O
EU,B-org
decisions,O
came,O
as,O
senior,O
Bosnian,B-gpe
and,O
U.N.,B-org
diplomats,O
meet,O
in,O
Washington,B-geo
to,O
mark,O
the,O
10th,B-tim
anniversary,I-tim
of,I-tim
the,O
Dayton,B-org
Peace,I-org
Accords,I-org
",",O
which,O
ended,O
the,O
three-year,B-tim
war,O
in,O
Bosnia-Herzegovina,B-geo
.,O
Russian,B-gpe
Defense,O
Minister,O
Sergei,B-per
Ivanov,I-per
has,O
accused,O
some,O
NATO,B-org
countries,O
of,O
illegally,O
supplying,O
Soviet-made,O
arms,O
to,O
Georgia,B-geo
.,O
The,O
Russian,B-gpe
official,O
Friday,B-tim
did,O
not,O
name,O
the,O
countries,O
allegedly,O
involved,O
",",O
but,O
he,O
said,O
they,O
were,O
from,O
among,O
the,O
seven,O
formerly,O
communist-ruled,O
East,B-geo
European,O
countries,O
that,O
joined,O
the,O
alliance,O
in,O
2004,B-tim
.,O
Ivanov,B-per
made,O
his,O
comments,O
following,O
a,O
meeting,O
with,O
defense,O
ministers,O
of,O
the,O
26,O
NATO,B-org
countries,O
in,O
the,O
Slovenian,O
seaside,O
resort,O
of,O
Portoroz,B-geo
.,O
Georgian,B-gpe
officials,O
filed,O
espionage,O
charges,O
against,O
Russian,B-gpe
military,O
officers,O
this,O
week,O
.,O
Ivanov,B-per
alleged,O
the,O
move,O
was,O
part,O
of,O
efforts,O
to,O
force,O
Moscow,B-geo
to,O
withdraw,O
